"","value"
"1","Republic of Ireland"
"2","Norway"
"3","Canada"
"4","Switzerland"
"5","Costa Rica"
"6","Haiti"
"7","China PR"
"8","Japan"
"9","Vietnam"
"10","South Africa"
"11","Jamaica"
"12","Portugal"
"13","Argentina"
"14","Morocco"
"15","Panama"
"16","Korea Republic"
"17","Philippines"
"18","Zambia"
"19","Nigeria"
"20","Netherlands"
"21","Denmark W"
"22","Haiti W"
"23","South Africa W"
"24","Brazil W"
"25","Italy W"
"26","Jamaica W"
"27","Morocco W"
"28","Colombia W"
"29","New Zealand W"
"30","Philippines W"
"31","Nigeria W"
"32","Spain W"
"33","Australia W"
"34","Zambia W"
"35","Netherlands W"
"36","USA W"
"37","England W"
"38","Sweden W"
"39","France W"
"40","Germany W"
"41","Australia"
"42","New Zealand"
"43","Spain"
"44","England"
"45","Denmark"
"46","United States"
"47","Sweden"
"48","France"
"49","Italy"
"50","Germany"
"51","Brazil"
"52","Colombia"
"53","China W"
"54","Argentina W"
"55","Panama W"
"56","South Korea W"
"57","Switzerland W"
"58","Norway W"
"59","Ireland W"
"60","Japan W"
"61","Canada W"
"62","Costa Rica W"
"63","Vietnam W"
"64","Portugal W"
